n,a,amplitude,lambda_min
1663,3.708189239596464,0.36372718046346747,-36.056866681355196
1667,3.709390441375397,0.3634082145204874,-36.103749366921484
1669,3.7099899618309173,0.36324910885092876,-36.12716889470955
1681,3.713572066704308,0.18114985691240526,-36.223113579523485
1693,3.7171286910665677,0.3613591944206259,-36.40707891447716
1697,3.7183086326171133,0.36104763542931273,-36.45353138178408
1699,3.7188975608359662,0.36089221812953387,-36.476736624271034
1709,3.7218318415577953,0.36011872766630065,-36.59255522945192
1721,3.7253303981057697,0.3591983659829474,-36.73108918104558
1723,3.725911118263965,0.3590457936503967,-36.754131564404936
1733,3.728804644857803,0.3582864144817641,-36.86914801264305
1741,3.7311074698840945,0.35768305341822343,-36.96093098493303
1747,3.732827655067028,0.35723292355384184,-37.02963699392897
1753,3.734541942460617,0.3567848251782082,-37.098232663237916
1759,3.736250372368779,0.3563387423918417,-37.16671984352492
1777,3.7413409140773255,0.35501243121495674,-37.37154748090056
1783,3.74302630893157,0.3545742552950486,-37.43961711130586
1787,3.744146757579714,0.35428321599113977,-37.4849407059647
1789,3.7447060417543594,0.35413801807324197,-37.50758577916696
1801,3.748048672587978,0.3532713003892942,-37.643224282316666
1811,3.7508172289417065,0.3525548295988135,-37.75595567405705
1823,3.7541193873393315,0.3517019180512348,-37.89087591204558
1831,3.7563087723372552,0.3511374118086995,-37.98060688953436
1847,3.76065899009962,0.3500180957786836,-38.15955014814095
1849,3.7612001156935624,0.17493954026481687,-38.14408445996187
1861,3.7644346283211254,0.34904913373572655,-38.31555447019749
1867,3.766044071770861,0.34863680293102806,-38.38224879520226
1871,3.7671141631370446,0.3483628856543162,-38.42665638138982
1873,3.7676483512220442,0.3482262165671569,-38.448843520538865
1877,3.7687150182932543,0.3479534551339622,-38.4931843813405
1879,3.7692474997067325,0.34781736184836215,-38.515338059061584
1889,3.7719014337507546,0.3471397510858669,-38.62593805359038
1901,3.7750676712442144,0.3463328398517756,-38.75828486979596
1907,3.7766433028002093,0.3459319008320916,-38.82430444922865
1913,3.7782139847201264,0.3455326234192994,-38.89022092503195
1931,3.7828966412142573,0.3443446420468162,-39.087349015959425
