u,x,lnF
2.4671513446,0.0921513446,-37.9658841362
2.4681519700,0.0931519700,-38.0235571214
2.4691525954,0.0941525954,-38.0865582951
2.4701532208,0.0951532208,-38.1550780676
2.4711538462,0.0961538462,-38.2293577967
2.4721544715,0.0971544715,-38.3096981960
2.4731550969,0.0981550969,-38.3964707447
2.4741557223,0.0991557223,-38.4901331800
2.4751563477,0.1001563477,-38.5912507030
2.4761569731,0.1011569731,-38.7005253994
2.4771575985,0.1021575985,-38.8188378184
2.4781582239,0.1031582239,-38.9473071078
2.4791588493,0.1041588493,-39.0873804814
2.4801594747,0.1051594747,-39.2409709470
2.4811601001,0.1061601001,-39.4106783018
2.4821607255,0.1071607255,-39.6001622577
2.4831613508,0.1081613508,-39.8148139497
2.4841619762,0.1091619762,-40.0630682581
2.4851626016,0.1101626016,-40.3592693062
2.4861632270,0.1111632270,-40.7310046082
2.4871638524,0.1121638524,-41.2432642923
2.4881644778,0.1131644778,-42.1296590714
2.4891651032,0.1141651032,-43.5824515026
2.4901657286,0.1151657286,-41.8817269714
2.4911663540,0.1161663540,-41.3643573078
2.4921669794,0.1171669794,-41.0833462660
2.4931676048,0.1181676048,-40.9108256262
2.4941682301,0.1191682301,-40.8030650244
2.4951688555,0.1201688555,-40.7401456394
2.4961694809,0.1211694809,-40.7116655603
2.4971701063,0.1221701063,-40.7119052202
2.4981707317,0.1231707317,-40.7378674488
2.4991713571,0.1241713571,-40.7884374411
2.5001719825,0.1251719825,-40.8640986537
2.5011726079,0.1261726079,-40.9670426871
2.5021732333,0.1271732333,-41.1017337252
2.5031738587,0.1281738587,-41.2762748893
2.5041744841,0.1291744841,-41.5056412988
2.5051751094,0.1301751094,-41.8203899007
2.5061757348,0.1311757348,-42.2972242431
2.5071763602,0.1321763602,-43.2513085187
2.5081769856,0.1331769856,-43.7969974554
2.5091776110,0.1341776110,-42.5011192087
2.5101782364,0.1351782364,-41.9727096140
2.5111788618,0.1361788618,-41.6454331635
2.5121794872,0.1371794872,-41.4152297389
2.5131801126,0.1381801126,-41.2436596437
2.5141807380,0.1391807380,-41.1122367844
2.5151813634,0.1401813634,-41.0106740579
2.5161819887,0.1411819887,-40.9326986583
2.5171826141,0.1421826141,-40.8742519123
2.5181832395,0.1431832395,-40.8326115984
2.5191838649,0.1441838649,-40.8059253775
2.5201844903,0.1451844903,-40.7929482880
2.5211851157,0.1461851157,-40.7928913336
2.5221857411,0.1471857411,-40.8053365051
2.5231863665,0.1481863665,-40.8301964492
2.5241869919,0.1491869919,-40.8677093814
2.5251876173,0.1501876173,-40.9184682028
2.5261882427,0.1511882427,-40.9834907165
2.5271888680,0.1521888680,-41.0643486905
2.5281894934,0.1531894934,-41.1633926005
2.5291901188,0.1541901188,-41.2841479592
2.5301907442,0.1551907442,-41.4320486741
2.5311913696,0.1561913696,-41.6159034639
2.5321919950,0.1571919950,-41.8511783396
2.5331926204,0.1581926204,-42.1686858014
2.5341932458,0.1591932458,-42.6448665857
2.5351938712,0.1601938712,-43.5908307727
2.5361944966,0.1611944966,-44.1638937518
2.5371951220,0.1621951220,-42.8484991588
2.5381957473,0.1631957473,-42.3107912476
2.5391963727,0.1641963727,-41.9737417142
2.5401969981,0.1651969981,-41.7324118685
2.5411976235,0.1661976235,-41.5481224252
2.5421982489,0.1671982489,-41.4022601930
2.5431988743,0.1681988743,-41.2844249273
2.5441994997,0.1691994997,-41.1882147929
2.5452001251,0.1702001251,-41.1094125048
2.5462007505,0.1712007505,-41.0450978472
2.5472013759,0.1722013759,-40.9931711779
2.5482020013,0.1732020013,-40.9520788813
2.5492026266,0.1742026266,-40.9206461751
2.5502032520,0.1752032520,-40.8979706858
2.5512038774,0.1762038774,-40.8833522487
2.5522045028,0.1772045028,-40.8762452719
2.5532051282,0.1782051282,-40.8762257087
2.5542057536,0.1792057536,-40.8829678283
2.5552063790,0.1802063790,-40.8962277930
2.5562070044,0.1812070044,-40.9158321379
2.5572076298,0.1822076298,-40.9416699329
2.5582082552,0.1832082552,-40.9736878562
2.5592088806,0.1842088806,-41.0118877169
2.5602095059,0.1852095059,-41.0563262002
2.5612101313,0.1862101313,-41.1071168087
2.5622107567,0.1872107567,-41.1644341670
2.5632113821,0.1882113821,-41.2285210766
2.5642120075,0.1892120075,-41.2996989942
2.5652126329,0.1902126329,-41.3783830021
2.5662132583,0.1912132583,-41.4651029403
2.5672138837,0.1922138837,-41.5605333159
2.5682145091,0.1932145091,-41.6655361537
2.5692151345,0.1942151345,-41.7812236164
2.5702157598,0.1952157598,-41.9090519685
2.5712163852,0.1962163852,-42.0509673825
2.5722170106,0.1972170106,-42.2096418027
2.5732176360,0.1982176360,-42.3888747961
2.5742182614,0.1992182614,-42.5943246033
2.5752188868,0.2002188868,-42.8349565349
2.5762195122,0.2012195122,-43.1262649709
2.5772201376,0.2022201376,-43.4987505624
2.5782207630,0.2032207630,-44.0271987247
2.5792213884,0.2042213884,-45.0094033989
2.5802220138,0.2052220138,-45.7441798520
2.5812226391,0.2062226391,-44.4390399635
2.5822232645,0.2072232645,-43.9549905298
2.5832238899,0.2082238899,-43.6775671461
2.5842245153,0.2092245153,-43.4991350019
2.5852251407,0.2102251407,-43.3806351457
2.5862257661,0.2112257661,-43.3036168716
2.5872263915,0.2122263915,-43.2580742111
2.5882270169,0.2132270169,-43.2381633008
2.5892276423,0.2142276423,-43.2403889779
2.5902282677,0.2152282677,-43.2627508965
2.5912288931,0.2162288931,-43.3043296724
2.5922295184,0.2172295184,-43.3651130780
2.5932301438,0.2182301438,-43.4459896948
2.5942307692,0.2192307692,-43.5489074469
2.5952313946,0.2202313946,-43.6772625699
2.5962320200,0.2212320200,-43.8367039147
2.5972326454,0.2222326454,-44.0368308988
2.5982332708,0.2232332708,-44.2951570892
2.5992338962,0.2242338962,-44.6481509906
2.6002345216,0.2252345216,-45.1931965014
2.6012351470,0.2262351470,-46.4253939677
